controller,fault_type,tp,fp,fn,tn
baseline,ambiguous_01,0,0,0,10
baseline,cascade_io_volume_01,10,0,0,0
baseline,compound_cpu_io_01,10,0,0,0
baseline,compound_network_memory_01,10,0,0,0
baseline,cpu_flicker_01,0,0,0,10
baseline,cpu_spike_01,10,0,0,0
baseline,disk_full_01,10,0,0,0
baseline,io_degradation_01,10,0,0,0
baseline,memory_leak_01,10,0,0,0
baseline,network_drop_01,10,0,0,0
baseline,vfs_errors_01,10,0,0,0
baseline,volume_lost_01,10,0,0,0
stateful,cascade_io_volume_01,10,0,0,0
stateful,io_degradation_01,10,0,0,0
stateful,vfs_errors_01,10,0,0,0
stateful,volume_lost_01,10,0,0,0
stateless,ambiguous_01,0,0,0,10
stateless,compound_cpu_io_01,10,0,0,0
stateless,compound_network_memory_01,10,0,0,0
stateless,cpu_flicker_01,0,0,0,10
stateless,cpu_spike_01,10,0,0,0
stateless,disk_full_01,10,0,0,0
stateless,memory_leak_01,10,0,0,0
stateless,network_drop_01,10,0,0,0
