controller,bin_left,bin_right,count,frequency
baseline,0.100002,0.130003,20,0.4
baseline,0.130003,0.160005,0,0.0
baseline,0.160005,0.190006,0,0.0
baseline,0.190006,0.220008,0,0.0
baseline,0.220008,0.250009,0,0.0
baseline,0.250009,0.280011,0,0.0
baseline,0.280011,0.310012,0,0.0
baseline,0.310012,0.340014,0,0.0
baseline,0.340014,0.370015,0,0.0
baseline,0.370015,0.400016,0,0.0
baseline,0.400016,0.430018,0,0.0
baseline,0.430018,0.460019,0,0.0
baseline,0.460019,0.490021,0,0.0
baseline,0.490021,0.520022,20,0.4
baseline,0.520022,0.550024,0,0.0
baseline,0.550024,0.580025,0,0.0
baseline,0.580025,0.610027,0,0.0
baseline,0.610027,0.640028,0,0.0
baseline,0.640028,0.67003,0,0.0
baseline,0.67003,0.700031,10,0.2
stateful,0.100005,0.120006,10,0.333333
stateful,0.120006,0.140008,0,0.0
stateful,0.140008,0.160009,0,0.0
stateful,0.160009,0.18001,0,0.0
stateful,0.18001,0.200012,0,0.0
stateful,0.200012,0.220013,0,0.0
stateful,0.220013,0.240014,0,0.0
stateful,0.240014,0.260015,0,0.0
stateful,0.260015,0.280017,0,0.0
stateful,0.280017,0.300018,9,0.3
stateful,0.300018,0.320019,1,0.033333
stateful,0.320019,0.340021,0,0.0
stateful,0.340021,0.360022,0,0.0
stateful,0.360022,0.380023,0,0.0
stateful,0.380023,0.400025,0,0.0
stateful,0.400025,0.420026,0,0.0
stateful,0.420026,0.440027,0,0.0
stateful,0.440027,0.460028,0,0.0
stateful,0.460028,0.48003,0,0.0
stateful,0.48003,0.500031,10,0.333333
stateless,0.100004,0.130004,10,0.25
stateless,0.130004,0.160004,0,0.0
stateless,0.160004,0.190004,0,0.0
stateless,0.190004,0.220005,0,0.0
stateless,0.220005,0.250005,0,0.0
stateless,0.250005,0.280005,0,0.0
stateless,0.280005,0.310005,0,0.0
stateless,0.310005,0.340005,0,0.0
stateless,0.340005,0.370005,0,0.0
stateless,0.370005,0.400006,0,0.0
stateless,0.400006,0.430006,0,0.0
stateless,0.430006,0.460006,0,0.0
stateless,0.460006,0.490006,0,0.0
stateless,0.490006,0.520006,20,0.5
stateless,0.520006,0.550006,0,0.0
stateless,0.550006,0.580006,0,0.0
stateless,0.580006,0.610007,0,0.0
stateless,0.610007,0.640007,0,0.0
stateless,0.640007,0.670007,0,0.0
stateless,0.670007,0.700007,10,0.25
