scenario_id,controller,trial_idx,seed,correct,decision_latency_ns,injected_event_count,expected_action,primary_action,timestamp
ambiguous_01,baseline,0,42,1,4000,4,no_action,no_action,1774508194.384761
ambiguous_01,baseline,1,43,1,3250,4,no_action,no_action,1774508194.3848135
ambiguous_01,baseline,2,44,1,3458,4,no_action,no_action,1774508194.3848622
ambiguous_01,baseline,3,45,1,3292,4,no_action,no_action,1774508194.3849306
ambiguous_01,baseline,4,46,1,3417,4,no_action,no_action,1774508194.3849983
ambiguous_01,baseline,5,47,1,3250,4,no_action,no_action,1774508194.3850558
ambiguous_01,baseline,6,48,1,3125,4,no_action,no_action,1774508194.385102
ambiguous_01,baseline,7,49,1,3125,4,no_action,no_action,1774508194.385148
ambiguous_01,baseline,8,50,1,3083,4,no_action,no_action,1774508194.3851948
ambiguous_01,baseline,9,51,1,2708,4,no_action,no_action,1774508194.3852317
cascade_io_volume_01,baseline,0,42,1,8751,6,escalate,escalate,1774508194.3853078
cascade_io_volume_01,baseline,1,43,1,7501,6,escalate,escalate,1774508194.385374
cascade_io_volume_01,baseline,2,44,1,7542,6,escalate,escalate,1774508194.385442
cascade_io_volume_01,baseline,3,45,1,7083,6,escalate,escalate,1774508194.3854969
cascade_io_volume_01,baseline,4,46,1,7167,6,escalate,escalate,1774508194.3855605
cascade_io_volume_01,baseline,5,47,1,7208,6,escalate,escalate,1774508194.3856225
cascade_io_volume_01,baseline,6,48,1,6751,6,escalate,escalate,1774508194.385674
cascade_io_volume_01,baseline,7,49,1,6541,6,escalate,escalate,1774508194.3857253
cascade_io_volume_01,baseline,8,50,1,7250,6,escalate,escalate,1774508194.3857777
cascade_io_volume_01,baseline,9,51,1,7999,6,escalate,escalate,1774508194.3858469
compound_cpu_io_01,baseline,0,42,1,4875,4,reschedule,reschedule,1774508194.3833456
compound_cpu_io_01,baseline,1,43,1,3208,4,reschedule,reschedule,1774508194.3833902
compound_cpu_io_01,baseline,2,44,1,2917,4,reschedule,reschedule,1774508194.3834283
compound_cpu_io_01,baseline,3,45,1,2792,4,reschedule,reschedule,1774508194.3834696
compound_cpu_io_01,baseline,4,46,1,3167,4,reschedule,reschedule,1774508194.3835213
compound_cpu_io_01,baseline,5,47,1,3000,4,reschedule,reschedule,1774508194.383568
compound_cpu_io_01,baseline,6,48,1,3167,4,reschedule,reschedule,1774508194.3836148
