parameter,value,controller,fault_type,precision,recall,f1
restart_threshold,0.6,stateless,cpu_spike_01,0.0,0.0,0.0
restart_threshold,0.6,stateless,memory_leak_01,0.0,0.0,0.0
restart_threshold,0.6,stateless,network_drop_01,0.0,0.0,0.0
restart_threshold,0.6,stateless,disk_full_01,0.0,0.0,0.0
restart_threshold,0.6,stateless,compound_cpu_io_01,0.0,0.0,0.0
restart_threshold,0.6,stateless,compound_network_memory_01,0.0,0.0,0.0
restart_threshold,0.6,stateless,cpu_flicker_01,0.0,0.0,0.0
restart_threshold,0.6,stateless,ambiguous_01,0.0,0.0,0.0
restart_threshold,0.7,stateless,cpu_spike_01,0.0,0.0,0.0
restart_threshold,0.7,stateless,memory_leak_01,0.0,0.0,0.0
restart_threshold,0.7,stateless,network_drop_01,0.0,0.0,0.0
restart_threshold,0.7,stateless,disk_full_01,0.0,0.0,0.0
restart_threshold,0.7,stateless,compound_cpu_io_01,0.0,0.0,0.0
restart_threshold,0.7,stateless,compound_network_memory_01,0.0,0.0,0.0
restart_threshold,0.7,stateless,cpu_flicker_01,0.0,0.0,0.0
restart_threshold,0.7,stateless,ambiguous_01,0.0,0.0,0.0
restart_threshold,0.8,stateless,cpu_spike_01,0.0,0.0,0.0
restart_threshold,0.8,stateless,memory_leak_01,0.0,0.0,0.0
restart_threshold,0.8,stateless,network_drop_01,0.0,0.0,0.0
restart_threshold,0.8,stateless,disk_full_01,0.0,0.0,0.0
restart_threshold,0.8,stateless,compound_cpu_io_01,0.0,0.0,0.0
restart_threshold,0.8,stateless,compound_network_memory_01,0.0,0.0,0.0
restart_threshold,0.8,stateless,cpu_flicker_01,0.0,0.0,0.0
restart_threshold,0.8,stateless,ambiguous_01,0.0,0.0,0.0
restart_threshold,0.9,stateless,cpu_spike_01,0.0,0.0,0.0
restart_threshold,0.9,stateless,memory_leak_01,0.0,0.0,0.0
restart_threshold,0.9,stateless,network_drop_01,0.0,0.0,0.0
restart_threshold,0.9,stateless,disk_full_01,0.0,0.0,0.0
restart_threshold,0.9,stateless,compound_cpu_io_01,0.0,0.0,0.0
restart_threshold,0.9,stateless,compound_network_memory_01,0.0,0.0,0.0
restart_threshold,0.9,stateless,cpu_flicker_01,0.0,0.0,0.0
restart_threshold,0.9,stateless,ambiguous_01,0.0,0.0,0.0
restart_threshold,0.95,stateless,cpu_spike_01,0.0,0.0,0.0
restart_threshold,0.95,stateless,memory_leak_01,0.0,0.0,0.0
restart_threshold,0.95,stateless,network_drop_01,0.0,0.0,0.0
restart_threshold,0.95,stateless,disk_full_01,0.0,0.0,0.0
restart_threshold,0.95,stateless,compound_cpu_io_01,0.0,0.0,0.0
restart_threshold,0.95,stateless,compound_network_memory_01,0.0,0.0,0.0
restart_threshold,0.95,stateless,cpu_flicker_01,0.0,0.0,0.0
restart_threshold,0.95,stateless,ambiguous_01,0.0,0.0,0.0
window_seconds,15,stateless,cpu_spike_01,0.0,0.0,0.0
window_seconds,15,stateless,memory_leak_01,0.0,0.0,0.0
window_seconds,15,stateless,network_drop_01,0.0,0.0,0.0
window_seconds,15,stateless,disk_full_01,0.0,0.0,0.0
window_seconds,15,stateful,io_degradation_01,1.0,1.0,1.0
window_seconds,15,stateful,volume_lost_01,1.0,1.0,1.0
window_seconds,15,stateful,vfs_errors_01,1.0,1.0,1.0
window_seconds,15,stateless,compound_cpu_io_01,0.0,0.0,0.0
window_seconds,15,stateless,compound_network_memory_01,0.0,0.0,0.0
