controller,fault_type,precision,recall,f1,mean_latency_ns,n_trials
baseline,ambiguous_01,0.0,0.0,0.0,5614.6,10
baseline,cascade_io_volume_01,1.0,1.0,1.0,5614.6,10
baseline,compound_cpu_io_01,1.0,1.0,1.0,5614.6,10
baseline,compound_network_memory_01,1.0,1.0,1.0,5614.6,10
baseline,cpu_flicker_01,0.0,0.0,0.0,5614.6,10
baseline,cpu_spike_01,1.0,1.0,1.0,5614.6,10
baseline,disk_full_01,1.0,1.0,1.0,5614.6,10
baseline,io_degradation_01,1.0,1.0,1.0,5614.6,10
baseline,memory_leak_01,1.0,1.0,1.0,5614.6,10
baseline,network_drop_01,1.0,1.0,1.0,5614.6,10
baseline,vfs_errors_01,1.0,1.0,1.0,5614.6,10
baseline,volume_lost_01,1.0,1.0,1.0,5614.6,10
stateful,cascade_io_volume_01,1.0,1.0,1.0,13890.6,10
stateful,io_degradation_01,1.0,1.0,1.0,13890.6,10
stateful,vfs_errors_01,1.0,1.0,1.0,13890.6,10
stateful,volume_lost_01,1.0,1.0,1.0,13890.6,10
stateless,ambiguous_01,0.0,0.0,0.0,5791.7,10
stateless,compound_cpu_io_01,1.0,1.0,1.0,5791.7,10
stateless,compound_network_memory_01,1.0,1.0,1.0,5791.7,10
stateless,cpu_flicker_01,0.0,0.0,0.0,5791.7,10
stateless,cpu_spike_01,1.0,1.0,1.0,5791.7,10
stateless,disk_full_01,1.0,1.0,1.0,5791.7,10
stateless,memory_leak_01,1.0,1.0,1.0,5791.7,10
stateless,network_drop_01,1.0,1.0,1.0,5791.7,10
shared,misclassification_rate,,,0.0,,
shared/stateless,divergence_rate,,,0.0,,
shared/stateful,divergence_rate,,,0.0787,,
shared/overall,divergence_rate,,,0.0307,,
shared/all,mttr,,,23928.0139,,
shared/stateless,mttr,,,967.0056,,
shared/stateful,mttr,,,20928.5837,,
shared/all,reversibility_ratio,,,0.7154,,
shared/stateless,reversibility_ratio,,,0.0,,
shared/stateful,reversibility_ratio,,,0.7154,,
shared/all,explanation_completeness,,,0.8276,,
shared/stateless,explanation_completeness,,,1.0,,
shared/stateful,explanation_completeness,,,1.0,,
shared/all,unsafe_action_suppression_rate,,,0.0455,,
shared/stateless,unsafe_action_suppression_rate,,,0.0,,
shared/stateful,unsafe_action_suppression_rate,,,0.1165,,
